B,n,snr,icc,rho,method,j,sd,bias,mse,coverage,n_rep_used,mean_Nj,min_Nj
30,1000,0.3,0.2,0.3,ours,27,0.148151665678027,-0.001727360645501143,0.021842155237757635,0.94,200,176.005,149.0
30,1000,0.3,0.2,0.3,ours,28,0.14908529402395249,0.011694559327953009,0.022252055487612336,0.965,200,164.88,139.0
30,1000,0.3,0.2,0.3,ours,29,0.1666282134773306,0.00906580873848365,0.027708325607096383,0.945,200,154.05,124.0
30,1000,0.3,0.2,0.3,ours,30,0.179394724863137,0.005667635273044873,0.03205367706176529,0.925,200,144.05,118.0
30,1000,0.3,0.2,0.3,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
30,1000,0.3,0.2,0.3,naive,2,0.06433562665688296,0.03124403702474706,0.0050945673426509245,0.99,200,934.75,915.0
30,1000,0.3,0.2,0.3,naive,3,0.07537241533431505,0.05875279655396836,0.009104487091273846,0.95,200,873.84,849.0
30,1000,0.3,0.2,0.3,naive,4,0.08649796630543606,0.08267518967203681,0.014279675671408731,0.87,200,818.5,790.0
30,1000,0.3,0.2,0.3,naive,5,0.08413276148574585,0.10067757682282245,0.017178904422356627,0.86,200,765.15,735.0
30,1000,0.3,0.2,0.3,naive,6,0.0938599679351268,0.11390318433266623,0.02173958051400046,0.78,200,715.455,680.0
30,1000,0.3,0.2,0.3,naive,7,0.09137975553386446,0.13725575513233282,0.027147650739768592,0.775,200,668.91,631.0
30,1000,0.3,0.2,0.3,naive,8,0.08908390163272857,0.1443676051052297,0.028738267226278653,0.705,200,625.795,591.0
30,1000,0.3,0.2,0.3,naive,9,0.09463602675386784,0.16255941606606758,0.03533676142370086,0.695,200,585.16,551.0
30,1000,0.3,0.2,0.3,naive,10,0.09897129913393037,0.17041579911438656,0.038787886049791595,0.65,200,546.345,511.0
30,1000,0.3,0.2,0.3,naive,11,0.10540649945129134,0.17099312459408705,0.04029362613439118,0.65,200,510.665,474.0
30,1000,0.3,0.2,0.3,naive,12,0.10018189130719654,0.18745342217295247,0.04512501477350863,0.62,200,477.33,436.0
30,1000,0.3,0.2,0.3,naive,13,0.09723361589563227,0.2025683219266827,0.050441029228030815,0.585,200,446.445,408.0
30,1000,0.3,0.2,0.3,naive,14,0.10545736289516588,0.2059946380896463,0.05349944003354306,0.575,200,417.66,382.0
30,1000,0.3,0.2,0.3,naive,15,0.12133709086754685,0.21934679926398581,0.06276209451945361,0.545,200,391.225,350.0
30,1000,0.3,0.2,0.3,naive,16,0.11614337577899929,0.2143732157297743,0.059377712940979495,0.545,200,365.32,326.0
30,1000,0.3,0.2,0.3,naive,17,0.11711062719496249,0.22025211799984054,0.06215731999040317,0.56,200,341.345,301.0
30,1000,0.3,0.2,0.3,naive,18,0.12825383775613397,0.23384335056748332,0.07104951426930774,0.56,200,319.15,283.0
30,1000,0.3,0.2,0.3,naive,19,0.12606213793143814,0.23335928955059856,0.07026876232630581,0.555,200,297.88,259.0
30,1000,0.3,0.2,0.3,naive,20,0.1296792953140406,0.2389750296592019,0.07384170083559685,0.59,200,279.28,243.0
30,1000,0.3,0.2,0.3,naive,21,0.12555286212202596,0.24889344516315062,0.07763265062627957,0.55,200,261.4,230.0
30,1000,0.3,0.2,0.3,naive,22,0.13331836706522796,0.27528455074930813,0.09346650194320255,0.52,200,244.685,216.0
30,1000,0.3,0.2,0.3,naive,23,0.14057750841532687,0.2686199447888218,0.09181990043124966,0.57,200,228.73,200.0
30,1000,0.3,0.2,0.3,naive,24,0.13740412915994624,0.2748536145310764,0.09433000465744967,0.56,200,214.195,185.0
30,1000,0.3,0.2,0.3,naive,25,0.14485189896049455,0.2702483667151005,0.09391134198147846,0.575,200,200.15,170.0
30,1000,0.3,0.2,0.3,naive,26,0.15237138753496918,0.27303191210892946,0.09764737957049328,0.595,200,187.675,159.0
30,1000,0.3,0.2,0.3,naive,27,0.1462661681732116,0.2623106704834713,0.0900937108418021,0.635,200,176.005,149.0
30,1000,0.3,0.2,0.3,naive,28,0.1506016209748754,0.2767563238743027,0.0991615068034767,0.605,200,164.88,139.0
30,1000,0.3,0.2,0.3,naive,29,0.16523552506824934,0.2740677091834488,0.10227937406792066,0.66,200,154.05,124.0
30,1000,0.3,0.2,0.3,naive,30,0.18295019318214165,0.2738763339026153,0.10831166559139284,0.675,200,144.05,118.0
30,1000,0.3,0.2,0.6,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
